lon,lat,alt,prcp,fitted_values,residuals,local_r2,intercept_coef,altitude_coef,intercept_se,altitude_se,intercept_t,altitude_t
109.767,31.617,1850,0.5,0.4172383365968061,0.08276166340319391,0.9070622562363041,-0.6442840872360228,0.0005737959047745022,6.678570650789585e-5,1.0e-5,-9647.035584775183,57.379590477450215
109.9,32.233,380,0.0,8.462312877118161e-11,-8.462312877118161e-11,0.9998367349200731,1.1419480529250375e-10,-7.78202013719004e-14,2.498256620150668e-5,1.0e-5,4.570979793325505e-6,-7.782020137190038e-9
109.901,32.271,381,0.0,1.0643253388765782e-9,-1.0643253388765782e-9,0.9999991659833142,1.7872342116608262e-9,-1.897398616231622e-12,2.6858561403217143e-5,1.0e-5,6.654244003726684e-5,-1.897398616231622e-7
109.917,31.983,868,0.0,1.0217098566998056e-5,-1.0217098566998056e-5,0.9725953684372766,-4.194238838715702e-5,6.00915748319759e-8,2.875735744358698e-5,1.0e-5,-1.4584924386545248,0.00600915748319759
109.833,32.017,527,0.0,-4.056557030690054e-6,4.056557030690054e-6,0.9725939523103515,-2.2437368490666575e-5,3.487820011380744e-8,2.635373064505454e-5,1.0e-5,-0.8513924951599633,0.0034878200113807436
109.85,31.967,808,0.0,2.2255027856054997e-5,-2.2255027856054997e-5,0.9725939143831949,-0.00016078631571650752,2.265363163026764e-7,2.6603218911450523e-5,1.0e-5,-6.043866956539687,0.022653631630267637
109.783,31.99,533,0.0,-2.263053927118068e-5,2.263053927118068e-5,0.9725814547005177,-9.705622395960874e-5,1.3963543093513707e-7,2.6412138452815667e-5,1.0e-5,-3.6746825378413104,0.013963543093513706
109.817,31.883,1571,0.0,0.003284673224038121,-0.003284673224038121,0.9686098647968829,-0.0037885659610814378,4.502380130566237e-6,2.775932564347104e-5,1.0e-5,-136.4790344599925,0.4502380130566237
109.967,31.817,902,0.0,0.0007195918292189699,-0.0007195918292189699,0.9711333633987893,-0.007818035140288459,9.46521836974216e-6,3.4787773245157876e-5,1.0e-5,-224.73514143009007,0.9465218369742159
109.917,31.867,1003,0.0,0.0006611579286748708,-0.0006611579286748708,0.9676427418436285,-0.0037467635874314704,4.39473730419376e-6,3.24825715559652e-5,1.0e-5,-115.34688936114736,0.43947373041937593
109.683,32.4,543,0.0,1.1358182468669932e-9,-1.1358182468669932e-9,0.999705830061542,5.7251512885525965e-9,-8.451810389844573e-12,5.292758102194986e-5,1.0e-5,0.00010816952481123765,-8.451810389844573e-7
109.667,32.083,965,0.0,4.0414374004436137e-7,-4.0414374004436137e-7,-0.12821659459201373,-1.7730461639942874e-6,2.256155340972693e-9,3.7801327718310516e-5,1.0e-5,-0.04690433566796239,0.0002256155340972693
109.7,32.1,982,0.0,2.134855487103979e-7,-2.134855487103979e-7,-1.3851472086500545,-6.334051188678498e-7,8.624141217701097e-10,3.3408703404272155e-5,1.0e-5,-0.018959284687081055,8.624141217701096e-5
109.633,32.367,514,0.0,5.8186128466591874e-11,-5.8186128466591874e-11,0.9793864427882034,3.087273854539457e-10,-4.874343521154744e-13,5.850269614688608e-5,1.0e-5,5.277147991244816e-6,-4.8743435211547436e-8
109.583,32.317,557,0.0,3.4648863444006716e-13,-3.4648863444006716e-13,-12.045074048748162,3.215626592078103e-12,-5.1510555792424345e-15,6.376992389168286e-5,1.0e-5,5.042544189859851e-8,-5.151055579242434e-10
109.817,32.15,436,0.0,-3.7812037227616245e-9,3.7812037227616245e-9,-24.251884114675594,-1.647899844210555e-8,2.912338238381634e-11,2.5179620004584335e-5,1.0e-5,-0.0006544577892400796,2.9123382383816337e-6
109.817,32.167,1069,0.0,5.005721813574365e-9,-5.005721813574365e-9,-43.04538919076722,-5.505177254044813e-9,9.832459371018875e-12,2.4824831252042773e-5,1.0e-5,-0.00022176091342380447,9.832459371018875e-7
109.817,32.1,480,0.0,-6.404351194803132e-8,6.404351194803132e-8,-3.932947240756243,-3.553620129102236e-7,6.069135436712339e-10,2.6249433460710548e-5,1.0e-5,-0.013537892672697869,6.0691354367123385e-5
